Dish Name,Ingredients
Pancakes,"sugar, eggs, flour, butter, milk, vanilla"
Pad Thai,"rice noodles, egg, shrimp, peanut, lime"
Turkey Sandwich,"tomato, bread, cheese, turkey"
Shawarma,"chicken, cumin, pita, yogurt, garlic"
Clam Chowder,"onion, potato, celery, clam"
Pasta Carbonara,"basil, cheese, pasta, olive oil, tomato sauce"
Caesar Salad,"parmesan, chicken, Caesar dressing, croutons"
Turkey Sandwich,"cheese, turkey, lettuce, mayonnaise"
Spring Rolls,"peanut sauce, shrimp, cabbage, carrots, rice paper"
Beef Steak,"butter, pepper, garlic, salt, beef"
Japanese Ramen,"egg, noodles, pork, scallions"
Pho,"lime, beef, chili, basil, rice noodles"
Butter Chicken,"spices, chicken, coconut milk, curry powder, onions"
Spring Rolls,"peanut sauce, shrimp, cabbage, carrots, rice paper"
Butter Chicken,"spices, onions, chicken, curry powder, coconut milk"
Sushi,"rice, salmon, avocado, seaweed, soy sauce"
Sushi,"salmon, rice, avocado, seaweed, soy sauce"
Shawarma,"garlic, cumin, yogurt, chicken, pita"
Dim Sum,"dumpling wrapper, pork, shrimp, soy sauce, ginger"
Tacos,"cheese, tortilla, beef, lettuce, salsa"
Butter Chicken,"chicken, spices, onions, coconut milk, curry powder"
Chicken Biryani,"rice, spices, yogurt, cardamom"
Dim Sum,"shrimp, ginger, dumpling wrapper, soy sauce, pork"
Caesar Salad,"chicken, Caesar dressing, croutons, parmesan, lettuce"
Pho,"basil, lime, chili, broth, rice noodles"
Pho,"rice noodles, beef, lime, broth, basil"
Pasta Carbonara,"cheese, olive oil, basil, tomato sauce"
Pasta Carbonara,"olive oil, tomato sauce, basil, pasta, cheese"
Pancakes,"milk, sugar, vanilla, butter"
Turkey Sandwich,"mayonnaise, bread, lettuce, turkey"
Japanese Ramen,"broth, egg, ginger, pork"
Greek Salad,"tomato, olives, dressing, feta cheese, lettuce"
Omelette,"butter, cheese, salt, eggs, onions, pepper"
BBQ Ribs,"BBQ sauce, pork, brown sugar, spices, garlic"
Beef Steak,"garlic, pepper, salt, beef"
Cereal,"oats, nuts, fruits, honey"
Turkey Sandwich,"cheese, tomato, bread, mayonnaise, lettuce, turkey"
Greek Salad,"cucumber, tomato, lettuce, dressing, feta cheese"
Grilled Chicken,"lettuce, seasoning, chicken, garlic"
Tacos,"cheese, beef, tortilla, salsa, lettuce"
Butter Chicken,"onions, coconut milk, curry powder, spices, chicken"
Cereal,"oats, fruits, honey, milk"
Pad Thai,"peanut, shrimp, lime, egg, rice noodles"
Spanish Paella,"seafood, onions, saffron, rice, peppers"
Greek Salad,"tomato, lettuce, olives, dressing, cucumber, feta cheese"
Tacos,"salsa, tortilla, lettuce, beef, cheese"
Lasagna,"onion, ground beef, cheese, pasta, garlic, tomato sauce"
Turkey Sandwich,"tomato, mayonnaise, cheese, bread, turkey, lettuce"
Lasagna,"cheese, tomato sauce, pasta, ground beef"
Chicken Biryani,"cardamom, chicken, spices, saffron"
Lasagna,"tomato sauce, ground beef, onion, pasta, cheese, garlic"
BBQ Ribs,"garlic, pork, brown sugar, spices"
Caesar Salad,"croutons, chicken, lettuce, Caesar dressing, parmesan"
Pasta Carbonara,"olive oil, basil, cheese, pasta"
Caesar Salad,"Caesar dressing, parmesan, lettuce, croutons, chicken"
Omelette,"cheese, onions, eggs, salt"
Dim Sum,"dumpling wrapper, shrimp, soy sauce, pork"
Pho,"beef, rice noodles, broth, lime"
Caesar Salad,"parmesan, Caesar dressing, lettuce, chicken, croutons"
Tacos,"beef, cheese, tortilla, salsa, lettuce"
Shawarma,"garlic, yogurt, pita, chicken, cumin"
Clam Chowder,"potato, clam, cream, celery, onion"
Pasta Carbonara,"pasta, tomato sauce, basil, olive oil, cheese"
Grilled Chicken,"lettuce, tomato, chicken, seasoning, garlic"
Cereal,"fruits, honey, nuts, milk, oats"
Pancakes,"eggs, butter, sugar, vanilla"
Japanese Ramen,"noodles, broth, pork, egg, ginger"
Greek Salad,"lettuce, cucumber, feta cheese, dressing"
Spring Rolls,"shrimp, peanut sauce, carrots, cabbage, rice paper"
Shawarma,"garlic, chicken, pita, yogurt, cumin"
Chicken Biryani,"saffron, yogurt, cardamom, chicken, rice, spices"
Pho,"lime, beef, rice noodles, basil, chili"
Pad Thai,"egg, shrimp, peanut, rice noodles"
Pho,"beef, broth, chili, rice noodles, basil, lime"
Pad Thai,"peanut, rice noodles, egg, shrimp"
Pancakes,"sugar, flour, butter, vanilla, milk, eggs"
Lasagna,"cheese, pasta, garlic, ground beef"
Turkey Sandwich,"mayonnaise, tomato, cheese, bread, lettuce, turkey"
Grilled Chicken,"garlic, tomato, chicken, seasoning, lettuce"
Greek Salad,"dressing, olives, feta cheese, cucumber, tomato, lettuce"
Pasta Carbonara,"basil, tomato sauce, olive oil, cheese, pasta"
Cereal,"milk, nuts, honey, oats"
Cereal,"nuts, fruits, oats, honey, milk"
Omelette,"butter, pepper, cheese, onions, eggs"
Clam Chowder,"cream, onion, clam, celery, potato"
Beef Steak,"salt, pepper, butter, garlic, beef"
Pasta Carbonara,"cheese, pasta, tomato sauce, olive oil, basil"
Sushi,"salmon, soy sauce, rice, seaweed"
Cereal,"honey, milk, fruits, oats"
Spanish Paella,"onions, rice, peppers, seafood, saffron"
Omelette,"salt, cheese, onions, eggs, butter, pepper"
Caesar Salad,"chicken, lettuce, parmesan, croutons"
Turkey Sandwich,"turkey, cheese, tomato, lettuce"
Chicken Biryani,"chicken, spices, rice, cardamom"
Sushi,"soy sauce, salmon, seaweed, rice, avocado"
Sushi,"avocado, rice, seaweed, salmon, soy sauce"
Beef Steak,"butter, salt, pepper, garlic"
Dim Sum,"shrimp, pork, ginger, soy sauce, dumpling wrapper"
Grilled Chicken,"lettuce, garlic, chicken, seasoning"
BBQ Ribs,"pork, garlic, brown sugar, BBQ sauce, spices"
Omelette,"eggs, butter, cheese, pepper"
Turkey Sandwich,"lettuce, turkey, bread, cheese"
Cereal,"honey, oats, fruits, nuts, milk"
Clam Chowder,"cream, onion, clam, potato"
Pad Thai,"peanut, rice noodles, egg, shrimp, lime"
Caesar Salad,"lettuce, croutons, parmesan, Caesar dressing, chicken"
Japanese Ramen,"scallions, egg, pork, broth, noodles"
Cereal,"milk, oats, honey, fruits, nuts"
Spanish Paella,"onions, saffron, rice, seafood, peppers"
Sushi,"rice, soy sauce, seaweed, avocado"
Clam Chowder,"clam, potato, celery, onion"
Caesar Salad,"Caesar dressing, croutons, lettuce, parmesan, chicken"
Shawarma,"pita, cumin, chicken, garlic, yogurt"
Lasagna,"cheese, tomato sauce, onion, ground beef"
Spring Rolls,"carrots, cabbage, peanut sauce, shrimp, rice paper"
Greek Salad,"feta cheese, tomato, lettuce, cucumber, dressing, olives"
Grilled Chicken,"tomato, garlic, lettuce, seasoning, chicken"
BBQ Ribs,"spices, BBQ sauce, brown sugar, garlic, pork"
Spanish Paella,"peppers, seafood, rice, saffron, onions"
Omelette,"eggs, cheese, pepper, salt, butter"
Shawarma,"cumin, garlic, pita, chicken"
Dim Sum,"ginger, pork, shrimp, dumpling wrapper"
Japanese Ramen,"scallions, noodles, egg, broth, pork, ginger"
Japanese Ramen,"ginger, noodles, scallions, pork"
Spring Rolls,"shrimp, carrots, rice paper, cabbage, peanut sauce"
Turkey Sandwich,"cheese, bread, tomato, lettuce, turkey"
Tacos,"salsa, tortilla, cheese, lettuce, beef"
Lasagna,"onion, cheese, ground beef, tomato sauce, garlic, pasta"
Caesar Salad,"parmesan, croutons, lettuce, chicken"
Spring Rolls,"shrimp, carrots, cabbage, rice paper, peanut sauce"
BBQ Ribs,"BBQ sauce, spices, pork, brown sugar, garlic"
Caesar Salad,"lettuce, parmesan, Caesar dressing, chicken"
Clam Chowder,"celery, clam, onion, cream"
Pho,"rice noodles, lime, broth, beef, chili"
Spanish Paella,"rice, seafood, saffron, peppers, onions"
Tacos,"lettuce, beef, tortilla, salsa"
Caesar Salad,"Caesar dressing, chicken, croutons, parmesan, lettuce"
Sushi,"salmon, soy sauce, rice, seaweed, avocado"
Butter Chicken,"chicken, curry powder, onions, coconut milk, spices"
Sushi,"soy sauce, rice, avocado, salmon"
Lasagna,"onion, tomato sauce, pasta, ground beef, garlic, cheese"
BBQ Ribs,"pork, garlic, spices, BBQ sauce"
BBQ Ribs,"spices, brown sugar, BBQ sauce, garlic"
Cereal,"oats, fruits, nuts, honey, milk"
Sushi,"seaweed, soy sauce, rice, salmon"
Chicken Biryani,"chicken, spices, saffron, cardamom, yogurt, rice"
Caesar Salad,"chicken, parmesan, Caesar dressing, lettuce, croutons"
Cereal,"oats, honey, milk, nuts, fruits"
BBQ Ribs,"garlic, brown sugar, BBQ sauce, spices, pork"
Lasagna,"garlic, cheese, tomato sauce, pasta"
Dim Sum,"ginger, dumpling wrapper, shrimp, pork, soy sauce"
Omelette,"cheese, pepper, onions, butter, eggs, salt"
Chicken Biryani,"yogurt, cardamom, chicken, saffron, rice"
Omelette,"salt, eggs, pepper, onions"
Shawarma,"pita, garlic, chicken, cumin, yogurt"
BBQ Ribs,"spices, BBQ sauce, pork, garlic, brown sugar"
Japanese Ramen,"egg, ginger, broth, noodles, scallions, pork"
Spring Rolls,"rice paper, cabbage, carrots, shrimp, peanut sauce"
Grilled Chicken,"tomato, lettuce, seasoning, chicken"
Pho,"beef, rice noodles, basil, chili"
Dim Sum,"dumpling wrapper, pork, soy sauce, shrimp, ginger"
Pad Thai,"egg, peanut, lime, shrimp, rice noodles"
Beef Steak,"salt, beef, pepper, butter, garlic"
Pancakes,"milk, sugar, flour, vanilla, butter, eggs"
Omelette,"onions, pepper, butter, salt, cheese"
Spanish Paella,"rice, onions, seafood, peppers, saffron"
Pho,"chili, lime, broth, rice noodles"
Tacos,"cheese, lettuce, tortilla, salsa"
Chicken Biryani,"rice, chicken, cardamom, yogurt"
Spring Rolls,"shrimp, cabbage, rice paper, carrots, peanut sauce"
Pancakes,"vanilla, milk, eggs, flour, butter"
Pasta Carbonara,"basil, pasta, cheese, tomato sauce"
Sushi,"seaweed, soy sauce, salmon, avocado, rice"
Pancakes,"sugar, eggs, milk, flour, vanilla, butter"
Pancakes,"milk, sugar, vanilla, flour, butter, eggs"
Spring Rolls,"shrimp, carrots, rice paper, cabbage, peanut sauce"
Turkey Sandwich,"tomato, lettuce, bread, cheese, mayonnaise"
Clam Chowder,"onion, cream, potato, clam, celery"
Caesar Salad,"chicken, Caesar dressing, croutons, parmesan, lettuce"
Clam Chowder,"potato, celery, onion, cream, clam"
Butter Chicken,"coconut milk, curry powder, chicken, onions, spices"
Greek Salad,"feta cheese, olives, lettuce, cucumber"
Tacos,"lettuce, beef, cheese, salsa, tortilla"
Spring Rolls,"carrots, rice paper, peanut sauce, shrimp, cabbage"
Beef Steak,"salt, garlic, butter, beef"
Pancakes,"butter, vanilla, sugar, eggs, flour, milk"
BBQ Ribs,"pork, brown sugar, garlic, BBQ sauce, spices"
Pho,"broth, basil, rice noodles, beef, chili"
Greek Salad,"cucumber, tomato, olives, lettuce, feta cheese, dressing"
Spanish Paella,"saffron, onions, seafood, rice"
Tacos,"beef, salsa, lettuce, tortilla, cheese"
BBQ Ribs,"spices, garlic, BBQ sauce, pork, brown sugar"
Lasagna,"cheese, ground beef, pasta, garlic, tomato sauce"
Turkey Sandwich,"turkey, mayonnaise, bread, lettuce, cheese"
Dim Sum,"soy sauce, ginger, shrimp, dumpling wrapper, pork"
Dim Sum,"shrimp, ginger, dumpling wrapper, pork, soy sauce"
Beef Steak,"salt, garlic, beef, butter"
Pad Thai,"lime, rice noodles, shrimp, peanut"
Beef Steak,"pepper, beef, butter, salt, garlic"
Dim Sum,"pork, ginger, soy sauce, shrimp, dumpling wrapper"
Dim Sum,"shrimp, pork, dumpling wrapper, ginger, soy sauce"
Cereal,"nuts, fruits, milk, honey, oats"
Caesar Salad,"Caesar dressing, chicken, lettuce, parmesan"
Spring Rolls,"peanut sauce, carrots, rice paper, cabbage, shrimp"
Spanish Paella,"seafood, rice, peppers, saffron, onions"
Tacos,"beef, lettuce, tortilla, cheese"
Cereal,"milk, oats, nuts, fruits"
Dim Sum,"pork, shrimp, ginger, soy sauce"
Omelette,"pepper, butter, eggs, salt, onions"
Lasagna,"cheese, onion, tomato sauce, pasta, ground beef"
Tacos,"beef, salsa, lettuce, tortilla, cheese"
Dim Sum,"pork, ginger, shrimp, soy sauce, dumpling wrapper"
Cereal,"oats, milk, honey, fruits, nuts"
Pasta Carbonara,"tomato sauce, cheese, olive oil, pasta, basil"
Japanese Ramen,"broth, egg, ginger, scallions"
Spanish Paella,"saffron, onions, seafood, peppers, rice"
Greek Salad,"lettuce, feta cheese, dressing, olives, cucumber"
Pancakes,"milk, eggs, flour, sugar, butter"
Chicken Biryani,"yogurt, chicken, cardamom, spices, rice, saffron"
Tacos,"cheese, beef, salsa, tortilla, lettuce"
Pho,"lime, beef, broth, chili, rice noodles"
Shawarma,"yogurt, cumin, chicken, garlic, pita"
Clam Chowder,"onion, celery, cream, clam, potato"
Clam Chowder,"onion, cream, potato, clam"
Pancakes,"sugar, vanilla, flour, butter"
Chicken Biryani,"cardamom, yogurt, saffron, spices, chicken"
Chicken Biryani,"rice, yogurt, spices, chicken, cardamom, saffron"
Dim Sum,"soy sauce, pork, shrimp, dumpling wrapper, ginger"
Beef Steak,"beef, pepper, garlic, butter"
Spanish Paella,"peppers, saffron, onions, rice, seafood"
Dim Sum,"ginger, dumpling wrapper, shrimp, pork, soy sauce"
Tacos,"beef, tortilla, salsa, cheese, lettuce"
Beef Steak,"pepper, garlic, butter, salt"
Grilled Chicken,"lettuce, seasoning, tomato, chicken, garlic"
Caesar Salad,"Caesar dressing, chicken, parmesan, lettuce, croutons"
Shawarma,"chicken, garlic, cumin, yogurt, pita"
Japanese Ramen,"scallions, pork, noodles, broth"
Pasta Carbonara,"cheese, olive oil, basil, tomato sauce, pasta"
Chicken Biryani,"rice, chicken, saffron, yogurt, spices, cardamom"
Spanish Paella,"peppers, saffron, rice, onions, seafood"
Grilled Chicken,"chicken, seasoning, garlic, tomato, lettuce"
Tacos,"cheese, lettuce, salsa, beef, tortilla"
Pho,"broth, chili, rice noodles, basil, lime, beef"
Omelette,"pepper, butter, salt, eggs"
Omelette,"pepper, salt, onions, butter, cheese, eggs"
Dim Sum,"soy sauce, ginger, dumpling wrapper, shrimp, pork"
Grilled Chicken,"chicken, tomato, lettuce, garlic"
Butter Chicken,"coconut milk, curry powder, onions, spices, chicken"
Pad Thai,"rice noodles, lime, shrimp, peanut"
Pho,"basil, broth, beef, rice noodles, lime, chili"
Beef Steak,"pepper, garlic, salt, butter"
Turkey Sandwich,"cheese, mayonnaise, tomato, turkey, lettuce, bread"
Greek Salad,"olives, dressing, tomato, cucumber, feta cheese"
BBQ Ribs,"pork, brown sugar, garlic, spices, BBQ sauce"
Grilled Chicken,"chicken, tomato, lettuce, garlic, seasoning"
Spanish Paella,"rice, seafood, saffron, onions, peppers"
Chicken Biryani,"spices, yogurt, chicken, cardamom, rice, saffron"
Caesar Salad,"chicken, Caesar dressing, parmesan, croutons, lettuce"
Spanish Paella,"peppers, saffron, rice, onions"
Pasta Carbonara,"basil, cheese, pasta, olive oil"
Japanese Ramen,"noodles, egg, broth, ginger, pork"
Greek Salad,"olives, dressing, feta cheese, lettuce"
Turkey Sandwich,"lettuce, mayonnaise, bread, cheese, tomato"
Butter Chicken,"coconut milk, spices, onions, curry powder, chicken"
Japanese Ramen,"ginger, noodles, egg, pork"
Sushi,"rice, avocado, seaweed, soy sauce, salmon"
Lasagna,"pasta, tomato sauce, ground beef, cheese"
Spring Rolls,"rice paper, cabbage, shrimp, peanut sauce"
Spanish Paella,"rice, peppers, seafood, saffron, onions"
Omelette,"butter, onions, salt, cheese, pepper"
Pho,"rice noodles, broth, beef, chili, basil"
Pho,"lime, broth, beef, basil, rice noodles"
Grilled Chicken,"garlic, seasoning, tomato, lettuce"
Cereal,"nuts, fruits, honey, oats, milk"
Japanese Ramen,"egg, ginger, broth, pork, scallions, noodles"
Cereal,"milk, oats, honey, nuts"
Pho,"broth, chili, lime, basil, rice noodles, beef"
Chicken Biryani,"rice, chicken, yogurt, saffron, cardamom, spices"
Clam Chowder,"clam, potato, onion, celery, cream"
Butter Chicken,"chicken, onions, curry powder, spices"
Pasta Carbonara,"olive oil, cheese, basil, pasta, tomato sauce"
Japanese Ramen,"broth, pork, ginger, egg"
Pad Thai,"rice noodles, shrimp, lime, egg, peanut"
Caesar Salad,"Caesar dressing, croutons, chicken, parmesan"
Grilled Chicken,"garlic, chicken, tomato, lettuce, seasoning"
Spring Rolls,"cabbage, shrimp, rice paper, carrots, peanut sauce"
Clam Chowder,"clam, potato, celery, cream, onion"
BBQ Ribs,"BBQ sauce, spices, brown sugar, garlic"
Butter Chicken,"curry powder, chicken, spices, onions, coconut milk"
Cereal,"milk, honey, fruits, nuts"
Greek Salad,"olives, lettuce, feta cheese, cucumber, dressing"
Lasagna,"onion, tomato sauce, pasta, cheese, ground beef, garlic"
Grilled Chicken,"chicken, seasoning, tomato, lettuce, garlic"
BBQ Ribs,"brown sugar, BBQ sauce, garlic, pork"
Clam Chowder,"clam, potato, cream, celery, onion"
Beef Steak,"beef, pepper, butter, garlic, salt"
Beef Steak,"beef, pepper, salt, butter, garlic"
Pasta Carbonara,"tomato sauce, pasta, olive oil, cheese, basil"
Chicken Biryani,"spices, yogurt, rice, cardamom, chicken, saffron"
Tacos,"salsa, lettuce, beef, tortilla"
BBQ Ribs,"BBQ sauce, garlic, pork, spices, brown sugar"
Caesar Salad,"Caesar dressing, croutons, parmesan, lettuce, chicken"
Sushi,"rice, soy sauce, salmon, seaweed, avocado"
BBQ Ribs,"garlic, BBQ sauce, spices, pork, brown sugar"
Caesar Salad,"Caesar dressing, chicken, parmesan, croutons"
