Dish Name,Ingredients,Cluster,Cluster_Label
grilled chicken,"lettuce, garlic, chicken, seasoning",6,Grilled & Roasted
bbq ribs,"pork, garlic, brown sugar, bbq sauce, spice",2,Curries & Stews
omelette,"eggs, butter, cheese, pepper",5,Breakfast & Brunch
turkey sandwich,"lettuce, turkey, bread, cheese",6,Grilled & Roasted
cereal,"honey, oats, fruits, nuts, milk",0,Salads & Wraps
clam chowder,"cream, onion, clam, potato",1,Desserts & Pastries
pad thai,"peanut, rice noodles, egg, shrimp, lime",3,Baked Dishes
caesar salad,"lettuce, croutons, parmesan, caesar dressing, chicken",6,Grilled & Roasted
japanese ramen,"scallions, egg, pork, broth, noodle",4,Asian & Stir Fry
cereal,"milk, oats, honey, fruits, nut",0,Salads & Wraps
spanish paella,"onions, saffron, rice, seafood, pepper",2,Curries & Stews
sushi,"rice, soy sauce, seaweed, avocado",2,Curries & Stews
clam chowder,"clam, potato, celery, onion",1,Desserts & Pastries
caesar salad,"caesar dressing, croutons, lettuce, parmesan, chicken",6,Grilled & Roasted
shawarma,"pita, cumin, chicken, garlic, yogurt",2,Curries & Stews
lasagna,"cheese, tomato sauce, onion, ground beef",1,Desserts & Pastries
greek salad,"feta cheese, tomato, lettuce, cucumber, dressing, olive",6,Grilled & Roasted
grilled chicken,"tomato, garlic, lettuce, seasoning, chicken",6,Grilled & Roasted
bbq ribs,"spices, bbq sauce, brown sugar, garlic, pork",2,Curries & Stews
spanish paella,"peppers, seafood, rice, saffron, onion",2,Curries & Stews
omelette,"eggs, cheese, pepper, salt, butter",5,Breakfast & Brunch
shawarma,"cumin, garlic, pita, chicken",2,Curries & Stews
dim sum,"ginger, pork, shrimp, dumpling wrapper",4,Asian & Stir Fry
japanese ramen,"scallions, noodles, egg, broth, pork, ginger",4,Asian & Stir Fry
japanese ramen,"ginger, noodles, scallions, pork",4,Asian & Stir Fry
spring rolls,"shrimp, carrots, rice paper, cabbage, peanut sauce",3,Baked Dishes
turkey sandwich,"cheese, bread, tomato, lettuce, turkey",6,Grilled & Roasted
tacos,"salsa, tortilla, cheese, lettuce, beef",6,Grilled & Roasted
lasagna,"onion, cheese, ground beef, tomato sauce, garlic, pasta",1,Desserts & Pastries
caesar salad,"parmesan, croutons, lettuce, chicken",6,Grilled & Roasted
spring rolls,"shrimp, carrots, cabbage, rice paper, peanut sauce",3,Baked Dishes
bbq ribs,"bbq sauce, spices, pork, brown sugar, garlic",2,Curries & Stews
caesar salad,"lettuce, parmesan, caesar dressing, chicken",6,Grilled & Roasted
clam chowder,"celery, clam, onion, cream",1,Desserts & Pastries
pho,"rice noodles, lime, broth, beef, chili",3,Baked Dishes
spanish paella,"rice, seafood, saffron, peppers, onion",2,Curries & Stews
tacos,"lettuce, beef, tortilla, salsa",6,Grilled & Roasted
caesar salad,"caesar dressing, chicken, croutons, parmesan, lettuce",6,Grilled & Roasted
sushi,"salmon, soy sauce, rice, seaweed, avocado",2,Curries & Stews
butter chicken,"chicken, curry powder, onions, coconut milk, spice",2,Curries & Stews
sushi,"soy sauce, rice, avocado, salmon",2,Curries & Stews
lasagna,"onion, tomato sauce, pasta, ground beef, garlic, cheese",1,Desserts & Pastries
bbq ribs,"pork, garlic, spices, bbq sauce",2,Curries & Stews
bbq ribs,"spices, brown sugar, bbq sauce, garlic",2,Curries & Stews
cereal,"oats, fruits, nuts, honey, milk",0,Salads & Wraps
sushi,"seaweed, soy sauce, rice, salmon",2,Curries & Stews
chicken biryani,"chicken, spices, saffron, cardamom, yogurt, rice",2,Curries & Stews
caesar salad,"chicken, parmesan, caesar dressing, lettuce, crouton",6,Grilled & Roasted
cereal,"oats, honey, milk, nuts, fruit",0,Salads & Wraps
bbq ribs,"garlic, brown sugar, bbq sauce, spices, pork",2,Curries & Stews
lasagna,"garlic, cheese, tomato sauce, pasta",1,Desserts & Pastries
dim sum,"ginger, dumpling wrapper, shrimp, pork, soy sauce",4,Asian & Stir Fry
omelette,"cheese, pepper, onions, butter, eggs, salt",5,Breakfast & Brunch
chicken biryani,"yogurt, cardamom, chicken, saffron, rice",2,Curries & Stews
omelette,"salt, eggs, pepper, onion",5,Breakfast & Brunch
shawarma,"pita, garlic, chicken, cumin, yogurt",2,Curries & Stews
bbq ribs,"spices, bbq sauce, pork, garlic, brown sugar",2,Curries & Stews
japanese ramen,"egg, ginger, broth, noodles, scallions, pork",4,Asian & Stir Fry
spring rolls,"rice paper, cabbage, carrots, shrimp, peanut sauce",3,Baked Dishes
grilled chicken,"tomato, lettuce, seasoning, chicken",6,Grilled & Roasted
pho,"beef, rice noodles, basil, chili",3,Baked Dishes
dim sum,"dumpling wrapper, pork, soy sauce, shrimp, ginger",4,Asian & Stir Fry
beef steak,"salt, beef, pepper, butter, garlic",5,Breakfast & Brunch
pancakes,"milk, sugar, flour, vanilla, butter, egg",0,Salads & Wraps
omelette,"onions, pepper, butter, salt, cheese",5,Breakfast & Brunch
spanish paella,"rice, onions, seafood, peppers, saffron",2,Curries & Stews
tacos,"cheese, lettuce, tortilla, salsa",6,Grilled & Roasted
chicken biryani,"rice, chicken, cardamom, yogurt",2,Curries & Stews
spring rolls,"shrimp, cabbage, rice paper, carrots, peanut sauce",3,Baked Dishes
pancakes,"vanilla, milk, eggs, flour, butter",0,Salads & Wraps
pasta carbonara,"basil, pasta, cheese, tomato sauce",1,Desserts & Pastries
sushi,"seaweed, soy sauce, salmon, avocado, rice",2,Curries & Stews
pancakes,"sugar, eggs, milk, flour, vanilla, butter",0,Salads & Wraps
pancakes,"milk, sugar, vanilla, flour, butter, egg",0,Salads & Wraps
turkey sandwich,"tomato, lettuce, bread, cheese, mayonnaise",6,Grilled & Roasted
clam chowder,"onion, cream, potato, clam, celery",1,Desserts & Pastries
clam chowder,"potato, celery, onion, cream, clam",1,Desserts & Pastries
butter chicken,"coconut milk, curry powder, chicken, onions, spice",2,Curries & Stews
greek salad,"feta cheese, olives, lettuce, cucumber",6,Grilled & Roasted
tacos,"lettuce, beef, cheese, salsa, tortilla",6,Grilled & Roasted
spring rolls,"carrots, rice paper, peanut sauce, shrimp, cabbage",3,Baked Dishes
beef steak,"salt, garlic, butter, beef",5,Breakfast & Brunch
pancakes,"butter, vanilla, sugar, eggs, flour, milk",0,Salads & Wraps
bbq ribs,"pork, brown sugar, garlic, bbq sauce, spice",2,Curries & Stews
pho,"broth, basil, rice noodles, beef, chili",3,Baked Dishes
greek salad,"cucumber, tomato, olives, lettuce, feta cheese, dressing",6,Grilled & Roasted
spanish paella,"saffron, onions, seafood, rice",2,Curries & Stews
tacos,"beef, salsa, lettuce, tortilla, cheese",6,Grilled & Roasted
bbq ribs,"spices, garlic, bbq sauce, pork, brown sugar",2,Curries & Stews
lasagna,"cheese, ground beef, pasta, garlic, tomato sauce",1,Desserts & Pastries
turkey sandwich,"turkey, mayonnaise, bread, lettuce, cheese",6,Grilled & Roasted
dim sum,"soy sauce, ginger, shrimp, dumpling wrapper, pork",4,Asian & Stir Fry
dim sum,"shrimp, ginger, dumpling wrapper, pork, soy sauce",4,Asian & Stir Fry
beef steak,"salt, garlic, beef, butter",5,Breakfast & Brunch
pad thai,"lime, rice noodles, shrimp, peanut",3,Baked Dishes
beef steak,"pepper, beef, butter, salt, garlic",5,Breakfast & Brunch
dim sum,"pork, ginger, soy sauce, shrimp, dumpling wrapper",4,Asian & Stir Fry
dim sum,"shrimp, pork, dumpling wrapper, ginger, soy sauce",4,Asian & Stir Fry
cereal,"nuts, fruits, milk, honey, oat",0,Salads & Wraps
caesar salad,"caesar dressing, chicken, lettuce, parmesan",6,Grilled & Roasted
spring rolls,"peanut sauce, carrots, rice paper, cabbage, shrimp",3,Baked Dishes
